val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_time,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,oversample,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel,datetime,trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.983333333,0.991666667,0.979730345,0.991666667,1,0.992857143,0.992857143,0.991304348,0.892094017,0.913461538,0.92,0.945512821,0.948571429,0.92,0.900952381,0.913461538,0.997402422,0.021984577,0.005,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,64,9,1,0,0,2,64,128,6,1,0,0.4,2,20240104_164235,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.994771242,0.998039216,0.979730345,0.996078431,1,0.996666667,0.997777778,0.998,0.884188034,0.907051282,0.914285714,0.950854701,0.94952381,0.914285714,0.890666667,0.907051282,0.997990806,0.017813683,0.005,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,342,8,1,0,0.6,3,,,,,,,,20240103_171838,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.979724656,1,1,1,1,1,0.898290598,0.923076923,0.931428571,0.962606838,0.964761905,0.931428571,0.908190476,0.923076923,0.997163064,0.032505751,0.003,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,6,2,1,0,2,612,128,5,1,0,0.6,3,20240103_074500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978928105,0.990117647,0.979724656,0.988156863,1,0.989887006,0.991016949,0.989918367,0.90491453,0.923076923,0.925714286,0.955128205,0.957142857,0.925714286,0.91047619,0.923076923,0.997678832,0.017903805,0.007,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,8,1,0,0.5,3,,,,,,,,20240103_144837,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.979724656,1,1,1,1,1,0.909188034,0.926282051,0.931428571,0.951923077,0.954285714,0.931428571,0.916190476,0.926282051,0.998065339,0.019525051,0.002,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,8,1,2,0.5,3,,,,,,,,20240104_041621,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.979724656,1,1,1,1,1,0.920726496,0.939102564,0.942857143,0.969017094,0.967619048,0.942857143,0.925333333,0.939102564,0.997586624,0.022041082,0.002,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,512,6,1,0,0.3,3,,,,,,,,20240104_150028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.979724656,1,1,1,1,1,0.939102564,0.951923077,0.954285714,0.971153846,0.971428571,0.954285714,0.942857143,0.951923077,0.999134141,0.019391537,0.003,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,5,1,1,0.1,3,256,256,5,1,1,0.3,2,20240104_172747,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.983333333,0.991666667,0.979724656,0.991666667,1,0.992592593,0.992592593,0.991304348,0.910683761,0.926282051,0.925714286,0.950854701,0.952380952,0.925714286,0.913142857,0.926282051,0.997623678,0.021305561,0.004,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,196,5,1,0,0.2,2,196,196,6,2,1,0.5,0,20240104_203425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.979718967,1,1,1,1,1,0.922008547,0.939102564,0.942857143,0.96474359,0.965714286,0.942857143,0.927619048,0.939102564,0.997162638,0.025393486,0.005,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,9,1,0,0.1,3,,,,,,,,20240103_011916,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.981981982,0.991891892,0.979718967,0.989189189,1,0.990803383,0.992318534,0.991666667,0.906410256,0.919871795,0.92,0.944444444,0.946666667,0.92,0.907428571,0.919871795,0.998765096,0.018429756,0.005,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,19,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,5,1,0,0.2,3,,,,,,,,20240103_064003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
