,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adbt8_30_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.213544497,0.0,0.216880342,0.0,0.216880342,0.0,0.988147709,0.0,0.988147709,0.0,0.216880342,0.0,0.213544497,0.0,0.216880342,0.0,-1.0,0.0,0.098375502,0.0,0.108974359,0.0,0.102857143,0.0,0.9711965809999998,0.0,0.9743238099999999,0.0,0.102857143,0.0,0.095313781,0.0,0.108974359,0.0,-1.0,0.0
adbt8_30_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.102655028,0.0,0.108974359,0.0,0.108974359,0.0,0.993635531,0.0,0.993635531,0.0,0.108974359,0.0,0.102655028,0.0,0.108974359,0.0,-1.0,0.0,0.040676464,0.0,0.048076923,0.0,0.045714286,0.0,0.9647829160000001,0.0,0.968606486,0.0,0.045714286,0.0,0.040069686,0.0,0.048076923,0.0,-1.0,0.0
adbt8_45_10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.134709653,0.0,0.141025641,0.0,0.141025641,0.0,0.993637227,0.0,0.993637227,0.0,0.141025641,0.0,0.134709653,0.0,0.141025641,0.0,-1.0,0.0,0.07059448,0.0,0.080128205,0.0,0.074285714,0.0,0.955169297,0.0,0.948608059,0.0,0.074285714,0.0,0.06673946,0.0,0.080128205,0.0,-1.0,0.0
adbt8_45_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.213544497,0.0,0.216880342,0.0,0.216880342,0.0,0.988147709,0.0,0.988147709,0.0,0.216880342,0.0,0.213544497,0.0,0.216880342,0.0,-1.0,0.0,0.098376642,0.0,0.108974359,0.0,0.102857143,0.0,0.9583766459999999,0.0,0.9571814670000001,0.0,0.102857143,0.0,0.095314797,0.0,0.108974359,0.0,-1.0,0.0
adbt8_45_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.109065934,0.0,0.115384615,0.0,0.115384615,0.0,0.9936358609999999,0.0,0.9936358609999999,0.0,0.115384615,0.0,0.109065934,0.0,0.115384615,0.0,-1.0,0.0,0.053497942,0.0,0.06089743599999999,0.0,0.057142857000000005,0.0,0.964783405,0.0,0.962892635,0.0,0.057142857000000005,0.0,0.051499117999999997,0.0,0.06089743599999999,0.0,-1.0,0.0
dt10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,-1.0,,0.44203618,,0.480769231,,0.48,,0.814850427,,0.819904762,,0.48,,0.450723953,,0.480769231,,-1.0,
dt3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.248931624,0.0,0.317307692,0.0,0.314285714,0.0,0.574679487,0.0,0.582285714,0.0,0.314285714,0.0,0.256190476,0.0,0.317307692,0.0,-1.0,0.0
dt5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.288675214,0.0,0.352564103,0.0,0.365714286,0.0,0.610042735,0.0,0.60952381,0.0,0.365714286,0.0,0.305333333,0.0,0.352564103,0.0,-1.0,0.0
dt8_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.430627379,0.0,0.483974359,0.0,0.4628571430000001,0.0,0.782993395,0.0,0.779411255,0.0,0.4628571430000001,0.0,0.421968788,0.0,0.483974359,0.0,-1.0,0.0
knn3_7_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.849448075,0.0,0.851495726,0.0,0.851495726,0.0,0.882630688,0.0,0.882630688,0.0,0.851495726,0.0,0.849448075,0.0,0.851495726,0.0,-1.0,0.0,0.646082621,0.0,0.71474359,0.0,0.714285714,0.0,0.84909188,0.0,0.851190476,0.0,0.714285714,0.0,0.650603175,0.0,0.71474359,0.0,-1.0,0.0
