val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_time,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,oversample,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,datetime,trials,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel
0.9666666666666666,0.9833333333333334,0.9807884856070088,0.9833333333333334,1.0,0.9851851851851852,0.9851851851851852,0.9826086956521738,0.9017094017094016,0.9198717948717948,0.9257142857142856,0.9519230769230768,0.9542857142857144,0.9257142857142856,0.9085714285714286,0.9198717948717948,0.9989867782871572,0.0195367336273193,0.006,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,342,5,1,0,0.6,3,20240111_223837,,,,,,,,
1.0,1.0,0.9807884856070088,1.0,1.0,1.0,1.0,1.0,0.9121794871794872,0.9294871794871796,0.9314285714285714,0.9626068376068376,0.961904761904762,0.9314285714285714,0.915809523809524,0.9294871794871796,0.997159018312098,0.0258471965789794,0.006,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",False,0.0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,5,1,1,0.1,2,20240112_053909,1.0,256.0,196.0,5.0,2.0,0.0,0.5,3.0
1.0,1.0,0.9807884856070088,1.0,1.0,1.0,1.0,1.0,0.9220085470085468,0.939102564102564,0.9428571428571428,0.9647435897435898,0.9657142857142856,0.9428571428571428,0.9276190476190476,0.939102564102564,0.9990050920886082,0.0214102268218994,0.003,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,9,1,0,0.0,2,20240112_203704,1.0,256.0,342.0,6.0,1.0,0.0,0.4,0.0
1.0,1.0,0.9807827966776652,1.0,1.0,1.0,1.0,1.0,0.9143162393162392,0.9326923076923076,0.9371428571428572,0.9626068376068376,0.961904761904762,0.9371428571428572,0.9196190476190476,0.9326923076923076,0.9969971754155528,0.0196502208709716,0.004,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,342,9,1,2,0.0,3,20240112_162941,,,,,,,,
0.9895424836601308,0.9941176470588236,0.9807827966776652,0.9941176470588236,0.9983050847457626,0.9932203389830508,0.9932203389830508,0.994,0.936965811965812,0.9519230769230768,0.9485714285714286,0.97008547008547,0.9676190476190476,0.9485714285714286,0.9361904761904762,0.9519230769230768,0.9984147914185786,0.019782543182373,0.006,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,12,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,8,1,1,0.1,2,20240112_103740,1.0,512.0,256.0,6.0,2.0,2.0,0.5,3.0
0.981981981981982,0.991891891891892,0.9807827966776652,0.9891891891891892,1.0,0.9908033826638478,0.9923185341789992,0.9916666666666668,0.9465811965811968,0.9583333333333334,0.96,0.9807692307692308,0.98,0.96,0.9485714285714286,0.9583333333333334,0.9978445081594376,0.0185794830322265,0.005,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,612,7,1,0,0.6,3,20240110_211011,2.0,,,,,,,
1.0,1.0,0.9807771077483218,1.0,1.0,1.0,1.0,1.0,0.92991452991453,0.939102564102564,0.9371428571428572,0.9572649572649572,0.9580952380952382,0.9371428571428572,0.9283809523809524,0.939102564102564,0.9974205223607256,0.0204894542694091,0.004,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,342,5,1,0,0.2,2,20240112_134951,1.0,342.0,342.0,8.0,1.0,0.0,0.6,3.0
1.0,1.0,0.9807771077483218,1.0,1.0,1.0,1.0,1.0,0.902136752136752,0.9166666666666666,0.92,0.941239316239316,0.943809523809524,0.92,0.9074285714285716,0.9166666666666666,0.9929261877139096,0.0194895267486572,0.008,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,5,1,0,0.6,3,20240112_215226,,,,,,,,
1.0,1.0,0.9807771077483216,1.0,1.0,1.0,1.0,1.0,0.8771367521367522,0.8974358974358975,0.9028571428571428,0.9401709401709404,0.943809523809524,0.9028571428571428,0.8857142857142857,0.8974358974358975,0.996166665814862,0.0222487449645996,0.004,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,5,1,0,0.0,0,20240111_144047,1.0,512.0,256.0,5.0,1.0,0.0,0.8,2.0
0.992,0.996,0.9807771077483216,0.996,1.0,0.9966101694915256,0.9966101694915256,0.9959183673469388,0.9136752136752136,0.9294871794871796,0.9314285714285714,0.9583333333333334,0.9571428571428572,0.9314285714285714,0.9165714285714284,0.9294871794871796,0.998047024731298,0.0213913917541503,0.003,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,612,6,1,1,0.1,3,20240111_005305,,,,,,,,
1.0,1.0,0.9797246558197747,1.0,1.0,1.0,1.0,1.0,0.9113247863247864,0.9294871794871796,0.9314285714285714,0.9572649572649572,0.961904761904762,0.9314285714285714,0.9171428571428571,0.9294871794871796,0.9965550887665696,0.0255796909332275,0.003,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",False,0.0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,5,1,1,0.6,3,20240110_140708,1.0,256.0,512.0,5.0,1.0,0.0,0.7,2.0
