val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,epochs_taken,test_time,val_cross_ent,val_cluster,val_separation,val_avg_separation,val_p_avg_pair_dist,num_ptypes_per_class,rank,ptype_length,prototype_shape,ptype_activation_fn,latent_weight,joint_features_lr,joint_ptypes_lr,warm_ptypes_lr,last_layer_lr,joint_weight_decay,joint_lr_step_size,warm_lr_step_size,cross_entropy_weight,cluster_weight,separation_weight,l1_weight,num_warm_epochs,push_gap,push_start,num_pushes,last_layer_epochs,seq_count_thresh,trainRandomInsertions,trainRandomDeletions,trainMutationRate,oversample,encoding_mode,push_encoding_mode,applying_on_raw_data,augment_test_data,load_existing_train_test,train_batch_size,test_batch_size,num_classes,seq_target_length,addTagAndPrimer,addRevComplements,val_portion_of_train,datetime
0.157677903,0.202247191,0.191489362,0.938392687,0.95230797,0.191489362,0.170567376,0.183908046,0.120253165,0.189873418,0.117021277,0.9092827,0.966312057,0.117021277,0.10106383,0.146666667,71,0.02512455,4.829156876,0.783106774,0.60378629,0.26818718,3057.898926,3,1,11,"(468, 520, 11)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_204301
0.15014365,0.216666667,0.191489362,0.927706553,0.954423532,0.191489362,0.154715229,0.189655172,0.088550795,0.17721519,0.127659574,0.907291627,0.964638707,0.127659574,0.095696945,0.133333333,71,0.024272203,4.909672022,0.737181395,0.512293398,0.242272682,4856.077637,2,1,21,"(312, 520, 21)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_193546
0.132967033,0.208791209,0.159574468,0.914224664,0.959515366,0.159574468,0.128723404,0.172413793,0.061801881,0.172839506,0.106382979,0.878078892,0.958770109,0.106382979,0.078077508,0.106666667,71,0.025328398,4.837752104,0.776528537,0.638536274,0.244461849,95525.125,3,2,9,"(468, 520, 9)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_202720
0.091889592,0.175824176,0.14893617,0.89999134,0.926823767,0.14893617,0.103463715,0.137931034,0.033604336,0.146341463,0.074468085,0.877269648,0.957949173,0.074468085,0.045626478,0.066666667,71,0.024787426,4.918485403,0.676262081,0.49837704,0.195147559,254090.4844,2,2,29,"(312, 520, 29)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_200140
0.102608099,0.182795699,0.138297872,0.912420134,0.977181622,0.138297872,0.126339218,0.126436782,0.073658537,0.170731707,0.085106383,0.896590343,0.984259661,0.085106383,0.078439716,0.093333333,71,0.024631739,4.847340584,0.793124348,0.676650435,0.272287324,71608.64844,3,2,7,"(468, 520, 7)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_201704
0.067821585,0.161290323,0.106382979,0.899159085,0.956969449,0.106382979,0.072419228,0.103448276,0.063658255,0.166666667,0.127659574,0.885809542,0.926016226,0.127659574,0.066061578,0.133333333,71,0.024137259,4.91525507,0.754871547,0.529646605,0.248066254,4529.297363,2,2,19,"(312, 520, 19)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_192322
0.07226248,0.127777778,0.106382979,0.928018278,0.955904025,0.106382979,0.081598828,0.097701149,0.022072578,0.117283951,0.053191489,0.897915837,0.965911691,0.053191489,0.027401676,0.046666667,71,0.023887396,4.9246912,0.766493231,0.580270052,0.280499727,3029.783936,2,2,13,"(312, 520, 13)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_190447
0.059944093,0.198979592,0.106382979,0.855138484,0.965995441,0.106382979,0.080225401,0.097701149,0.028624239,0.191860465,0.095744681,0.825175341,0.929044242,0.095744681,0.043349832,0.073333333,71,0.024758577,4.922549486,0.698971212,0.504505098,0.200623587,241429.5156,2,2,27,"(312, 520, 27)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_181022
0.074603175,0.122222222,0.095744681,0.927521368,0.95613748,0.095744681,0.077507599,0.091954023,0.056910569,0.140243902,0.074468085,0.902439024,0.978723404,0.074468085,0.078014184,0.06,71,0.024924755,4.920450449,0.763591081,0.565047681,0.238100275,140407.0156,2,2,15,"(312, 520, 15)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_191127
0.06048026,0.120879121,0.085106383,0.936104776,0.977151077,0.085106383,0.067060678,0.08045977,0.072294372,0.116883117,0.106382979,0.915945166,0.94355792,0.106382979,0.090780142,0.093333333,71,0.02417469,4.908384562,0.723693758,0.50700435,0.234207779,5315.833008,2,2,23,"(312, 520, 23)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_175904
